Week Number,hours: Emp Category 10,Interns: Emp Category 10,Intern,All,Data Coordinator (Emp Category 11 & 27),DC,Staff Utilization (Emp Category 13 & 14),SU,Senior (Emp Category 15 & 16),SEN,"Management (Emp Category 17, 18, 19, 20, 21, 22, 23, 24, 25, 26)",MAN
1,40,0%,0.00,40,50.00%,20.00,55.80%,22.32,62.91%,25.16,49.79%,19.92
2,20,50%,10.00,45,51.29%,23.08,65.00%,29.25,58.88%,26.50,50.00%,22.50
3,20,80%,16.00,50,50.00%,25.00,66.77%,33.39,75.00%,37.50,58.00%,29.00
4,20,80%,16.00,52,50.00%,26.00,75.00%,39.00,75.00%,39.00,58.00%,30.16
5,20,80%,16.00,52,75.00%,39.00,90.00%,46.80,80.00%,41.60,58.00%,30.16
6,20,80%,16.00,52,80.00%,41.60,96.00%,49.92,89.61%,46.60,58.00%,30.16
7,20,80%,16.00,52,80.00%,41.60,95.00%,49.40,91.26%,47.46,65.99%,34.31
8,20,80%,16.00,52,80.00%,41.60,92.00%,47.84,93.30%,48.52,75.10%,39.05
9,20,80%,16.00,55,80.00%,44.00,92.00%,50.60,89.90%,49.45,73.29%,40.31
10,20,80%,16.00,55,80.00%,44.00,92.00%,50.60,91.01%,50.06,79.32%,43.63
11,20,80%,16.00,52,80.00%,41.60,92.00%,47.84,91.77%,47.72,76.88%,39.98
12,20,80%,16.00,52,85.00%,44.20,92.00%,47.84,88.05%,45.79,73.09%,38.01
13,20,80%,16.00,55,75.00%,41.25,92.60%,50.93,93.97%,51.68,89.93%,49.46
14,20,80%,16.00,55,95.00%,52.25,92.00%,50.60,91.23%,50.18,86.11%,47.36
15,0,,0.00,45,95.00%,42.75,95.00%,42.75,88.93%,40.02,99.53%,44.79
16,0,,0.00,40,65.00%,26.00,75.00%,30.00,76.32%,30.53,69.97%,27.99
17,0,,0.00,40,65.00%,26.00,82.10%,32.84,79.95%,31.98,59.12%,23.65
18,0,,0.00,40,75.00%,30.00,81.83%,32.73,74.76%,29.90,48.86%,19.54
19,0,,0.00,40,65.00%,26.00,80.00%,32.00,79.55%,31.82,51.49%,20.60
20,0,,0.00,40,65.00%,26.00,65.00%,26.00,65.15%,26.06,43.86%,17.54
21,0,,0.00,40,65.17%,26.07,65.00%,26.00,70.78%,28.31,47.36%,18.94
22,0,,0.00,40,65.00%,26.00,75.00%,30.00,68.41%,27.36,39.98%,15.99
23,40,0%,0.00,40,65.00%,26.00,75.00%,30.00,66.07%,26.43,47.45%,18.98
24,24,50%,12.00,40,83.29%,33.32,75.00%,30.00,67.38%,26.95,58.86%,23.54
25,24,80%,19.20,40,65.40%,26.16,65.00%,26.00,71.91%,28.76,48.63%,19.45
26,24,80%,19.20,40,65.00%,26.00,50.01%,20.00,65.00%,26.00,35.19%,14.08
27,24,80%,19.20,40,71.09%,28.44,81.96%,32.78,87.31%,34.92,54.24%,21.70
28,24,80%,19.20,40,53.92%,21.57,75.00%,30.00,68.96%,27.58,47.42%,18.97
29,24,80%,19.20,40,63.48%,25.39,80.00%,32.00,80.04%,32.02,54.23%,21.69
30,24,80%,19.20,40,67%,26.80,70.00%,28.00,69.73%,27.89,46.93%,18.77
31,24,80%,19.20,40,65.00%,26.00,85.00%,34.00,80.31%,32.12,58.76%,23.50
32,24,80%,19.20,40,76.70%,30.68,85.00%,34.00,83.23%,33.29,68.98%,27.59
33,0,,0.00,40,86.17%,34.47,85.00%,34.00,84.73%,33.89,73.46%,29.38
34,0,,0.00,40,81.57%,32.63,85.00%,34.00,83.99%,33.60,70.10%,28.04
35,0,,0.00,50,94.30%,47.15,85.00%,42.50,80.72%,40.36,75.13%,37.57
36,0,,0.00,50,90.00%,45.00,97.00%,48.50,93.58%,46.79,96.25%,48.13
37,0,,0.00,40,75.00%,30.00,97.00%,38.80,98.13%,39.25,92.62%,37.05
38,0,,0.00,40,65.00%,26.00,85.00%,34.00,89%,35.60,69.28%,27.71
39,0,,0.00,50,65.00%,32.50,90.00%,45.00,85.03%,42.52,79.53%,39.77
40,0,,0.00,50,65.00%,32.50,85.00%,42.50,88.05%,44.03,77.70%,38.85
41,0,,0.00,40,75.00%,30.00,90.00%,36.00,87.11%,34.84,85.11%,34.04
42,0,,0.00,40,75.00%,30.00,80.00%,32.00,79.73%,31.89,89.81%,35.92
43,0,,0.00,40,50.00%,20.00,65.00%,26.00,71.82%,28.73,46.04%,18.42
44,0,,0.00,40,50.00%,20.00,26.24%,10.50,65.14%,26.06,33.07%,13.23
45,0,,0.00,40,50.00%,20.00,34.92%,13.97,55.00%,22.00,38.10%,15.24
46,0,,0.00,40,57%,22.80,55.00%,22.00,66.77%,26.71,44.15%,17.66
47,0,,0.00,40,50.00%,20.00,55.00%,22.00,61.59%,24.64,48.44%,19.38
48,0,,0.00,40,50.00%,20.00,60.00%,24.00,61.10%,24.44,48.64%,19.46
49,0,,0.00,40,50.00%,20.00,60.00%,24.00,55.00%,22.00,34.94%,13.98
50,0,,0.00,40,50.47%,20.19,60.00%,24.00,67.01%,26.80,43.42%,17.37
51,0,,0.00,40,50.00%,20.00,60.21%,24.08,62.79%,25.12,48.51%,19.40
52,0,,0.00,40,50.00%,20.00,60.00%,24.00,60.00%,24.00,43.60%,17.44
